repository,stars,created_at,age_days,age_years,total_accepted_pull_requests,total_releases,pushed_at,days_since_last_update,primary_language,issues_open,issues_closed,issues_closed_ratio
coollabsio/coolify,60709,2021-01-25T20:54:01Z,2030,5.56,2770,690,2026-08-18T12:46:27Z,0,PHP,615,3335,0.844
microsoft/autogen,60488,2023-08-18T11:43:45Z,1096,3.0,2537,98,2026-04-15T11:59:09Z,125,Python,558,2519,0.819
pi-hole/pi-hole,60429,2014-06-08T15:02:55Z,4453,12.19,2237,126,2026-08-04T11:14:35Z,14,Shell,22,3125,0.993
adam-p/markdown-here,60250,2012-05-13T03:27:22Z,5210,14.26,27,17,2025-08-22T00:21:50Z,361,JavaScript,301,334,0.526
marktext/marktext,60236,2017-11-12T16:05:25Z,3200,8.76,1371,47,2026-07-27T03:16:54Z,22,TypeScript,609,2827,0.823
sharkdp/bat,60201,2018-04-21T10:52:23Z,3041,8.33,1665,43,2026-08-11T14:39:20Z,6,Rust,326,1303,0.8
spring-projects/spring-framework,60200,2010-12-08T04:04:45Z,5732,15.69,939,363,2026-08-18T07:25:36Z,0,Java,384,27957,0.986
CorentinJ/Real-Time-Voice-Cloning,60090,2019-05-26T08:56:15Z,2641,7.23,51,0,2026-03-09T10:31:58Z,162,Python,169,953,0.849
pbakaus/impeccable,60075,2025-11-16T01:52:04Z,275,0.75,272,45,2026-08-18T05:38:15Z,0,JavaScript,43,188,0.814
ghostty-org/ghostty,59817,2022-03-29T17:38:26Z,1602,4.39,4469,1,2026-08-17T21:22:26Z,0,Zig,145,2110,0.936
jquery/jquery,59779,2009-04-03T15:20:14Z,6345,17.37,902,13,2026-08-12T10:08:27Z,6,JavaScript,73,2320,0.969
shadowsocks/shadowsocks-windows,59564,2013-01-14T07:54:16Z,4964,13.59,290,55,2025-01-01T08:09:55Z,594,C#,189,2729,0.935
meta-llama/llama,59563,2023-02-14T09:29:12Z,1281,3.51,54,0,2025-01-26T21:42:26Z,568,Python,472,654,0.581
FiloSottile/mkcert,59462,2018-06-25T05:33:03Z,2976,8.15,53,14,2024-08-13T13:37:46Z,734,Go,117,242,0.674
starship/starship,59459,2019-04-02T03:23:12Z,2695,7.38,3204,141,2026-08-17T16:16:09Z,0,Rust,802,1909,0.704
termux/termux-app,59387,2015-10-23T09:42:46Z,3952,10.82,178,95,2026-07-14T20:47:14Z,34,Java,497,2654,0.842
rclone/rclone,59232,2014-03-16T16:19:57Z,4537,12.42,2490,131,2026-08-18T11:29:44Z,0,Go,977,5198,0.842
byoungd/up,59200,2017-05-30T07:18:52Z,3367,9.22,31,0,2026-08-17T05:04:19Z,1,JavaScript,30,102,0.773
pathwaycom/llm-app,59011,2023-07-19T08:43:37Z,1126,3.08,50,0,2026-07-05T17:59:07Z,43,Jupyter Notebook,5,15,0.75
meilisearch/meilisearch,59002,2018-04-23T11:45:28Z,3039,8.32,2532,330,2026-08-14T09:38:01Z,4,Rust,242,2230,0.902
rust-unofficial/awesome-rust,58881,2014-07-17T10:45:10Z,4415,12.09,1918,0,2026-08-17T20:30:50Z,0,Rust,7,143,0.953
penpot/penpot,58822,2015-12-29T22:09:07Z,3884,10.63,6918,85,2026-08-18T12:45:35Z,0,Clojure,668,2459,0.786
rails/rails,58692,2008-04-11T02:19:47Z,6703,18.35,26850,168,2026-08-18T07:59:16Z,0,Ruby,487,18167,0.974
pmndrs/zustand,58581,2019-04-09T09:10:06Z,2688,7.36,927,105,2026-08-18T00:31:47Z,0,TypeScript,2,696,0.997
mvanhorn/last30days-skill,58575,2026-01-23T20:37:37Z,206,0.56,464,40,2026-08-16T18:44:24Z,1,Python,85,158,0.65
tiimgreen/github-cheat-sheet,58573,2014-04-12T16:38:42Z,4510,12.35,129,0,2024-04-15T20:15:56Z,854,N/A,28,49,0.636
angular/angular.js,58537,2010-01-06T00:34:37Z,6068,16.61,790,0,2024-04-12T17:43:16Z,857,JavaScript,389,8644,0.957
MemPalace/mempalace,58434,2026-04-05T01:12:07Z,135,0.37,608,15,2026-08-16T16:19:38Z,1,Python,324,461,0.587
FoundationAgents/OpenManus,58006,2025-03-06T14:08:14Z,529,1.45,116,3,2026-08-16T10:36:18Z,2,Python,282,472,0.626
ultralytics/yolov5,57898,2020-05-18T03:45:11Z,2283,6.25,2320,10,2026-08-16T10:37:11Z,2,Python,30,9413,0.997
h5bp/html5-boilerplate,57593,2010-01-24T18:03:24Z,6049,16.56,846,34,2026-08-10T23:11:22Z,7,JavaScript,7,1359,0.995
scutan90/DeepLearning-500-questions,57534,2018-06-27T06:36:45Z,2974,8.14,302,0,2024-06-26T12:10:14Z,783,JavaScript,111,81,0.422
go-gitea/gitea,57470,2016-11-01T02:13:26Z,3577,9.79,19726,235,2026-08-18T11:19:56Z,0,Go,2346,13610,0.853
deepfakes/faceswap,57469,2017-12-19T09:44:13Z,3164,8.66,370,5,2026-08-05T11:39:37Z,13,Python,10,899,0.989
zylon-ai/private-gpt,57447,2023-05-02T09:15:31Z,1204,3.3,306,14,2026-08-18T10:19:55Z,0,Python,1,1241,0.999
karpathy/nanochat,57285,2025-10-13T13:46:35Z,308,0.84,84,0,2026-08-02T21:05:23Z,15,Python,22,117,0.842
crewAIInc/crewAI,57246,2023-10-27T03:26:59Z,1026,2.81,2114,230,2026-08-18T06:50:06Z,0,Python,112,2013,0.947
wasabeef/awesome-android-ui,57226,2014-12-24T01:45:03Z,4255,11.65,91,0,2026-06-05T05:39:52Z,74,N/A,22,95,0.812
Textualize/rich,57082,2019-11-10T15:28:09Z,2472,6.77,869,177,2026-06-23T03:10:19Z,56,Python,237,1289,0.845
appwrite/appwrite,57041,2019-04-08T16:36:25Z,2688,7.36,5236,132,2026-08-18T12:48:15Z,0,TypeScript,519,3950,0.884
FuelLabs/fuel-core,56900,2020-08-27T21:12:14Z,2181,5.97,1657,130,2026-08-16T00:14:10Z,2,Rust,162,999,0.86
soimort/you-get,56872,2012-08-20T15:53:36Z,5110,13.99,582,123,2026-07-25T08:02:33Z,24,Python,0,0,N/A
remotion-dev/remotion,56688,2020-06-23T19:49:10Z,2246,6.15,6056,672,2026-08-18T12:48:18Z,0,TypeScript,183,3499,0.95
ageitgey/face_recognition,56662,2017-03-03T21:52:39Z,3454,9.46,95,2,2026-06-25T11:12:50Z,54,Python,775,604,0.438
BerriAI/litellm,56638,2023-07-27T00:09:52Z,1118,3.06,14367,1000,2026-08-18T11:44:44Z,0,Python,1664,10492,0.863
remix-run/react-router,56554,2014-05-16T22:22:51Z,4476,12.25,3636,343,2026-08-07T20:04:31Z,10,TypeScript,101,8290,0.988
golang-standards/project-layout,56469,2017-09-09T16:33:26Z,3264,8.94,98,0,2026-04-28T17:18:05Z,111,Makefile,72,44,0.379
Zie619/n8n-workflows,56092,2025-05-14T08:43:59Z,461,1.26,34,1,2026-06-24T14:16:03Z,54,Python,25,80,0.762
makeplane/plane,56085,2022-11-19T12:55:01Z,1367,3.74,6446,62,2026-08-17T20:47:23Z,0,TypeScript,788,1116,0.586
laurent22/joplin,55992,2017-01-16T21:49:41Z,3500,9.58,5979,417,2026-08-18T10:46:46Z,0,TypeScript,618,7613,0.925
gatsbyjs/gatsby,55943,2015-05-21T22:43:05Z,4106,11.24,18302,158,2026-08-15T00:01:50Z,3,JavaScript,217,13910,0.985
jellyfin/jellyfin,55904,2018-12-09T06:36:45Z,2809,7.69,5621,112,2026-08-17T22:18:29Z,0,C#,378,8310,0.956
azl397985856/leetcode,55761,2018-03-30T09:13:51Z,3063,8.39,257,40,2025-07-16T09:42:17Z,398,JavaScript,9,248,0.965
Raphire/Win11Debloat,55647,2020-10-27T22:26:59Z,2120,5.8,130,37,2026-08-16T20:49:09Z,1,PowerShell,32,356,0.918
firstcontributions/first-contributions,55542,2016-09-20T14:35:09Z,3618,9.91,103219,0,2026-08-18T12:40:15Z,0,N/A,18,1483,0.988
typst/typst,55504,2019-09-24T21:41:56Z,2519,6.9,2495,30,2026-08-17T13:16:08Z,0,Rust,1208,3282,0.731
FlowiseAI/Flowise,55381,2023-03-31T12:23:09Z,1236,3.38,1820,85,2026-08-13T12:38:19Z,5,TypeScript,701,1973,0.738
AntonOsika/gpt-engineer,55135,2023-04-29T12:52:15Z,1207,3.3,351,21,2025-05-14T10:15:10Z,461,Python,32,471,0.936
twentyhq/twenty,55077,2022-12-01T13:04:40Z,1355,3.71,14002,102,2026-08-18T12:45:41Z,0,TypeScript,108,6723,0.984
PowerShell/PowerShell,54954,2016-01-13T23:41:35Z,3869,10.59,8462,214,2026-08-17T23:51:00Z,0,C#,1287,12269,0.905
romkatv/powerlevel10k,54927,2019-02-24T19:09:45Z,2731,7.48,170,33,2026-08-15T09:23:06Z,3,Shell,128,2492,0.951
ngosang/trackerslist,54899,2016-04-24T11:57:57Z,3768,10.32,1,0,2026-08-17T22:09:43Z,0,N/A,11,528,0.98
usestrix/strix,54839,2025-08-05T21:28:30Z,377,1.03,360,26,2026-08-17T20:55:28Z,0,Python,127,186,0.594
jingyaogong/minimind,54799,2024-07-27T04:34:12Z,752,2.06,12,2,2026-08-06T14:08:38Z,11,Python,26,608,0.959
TryGhost/Ghost,54791,2013-05-04T11:09:13Z,4854,13.29,18366,998,2026-08-18T12:44:47Z,0,JavaScript,30,7296,0.996
facebookresearch/segment-anything,54696,2023-03-23T17:03:03Z,1243,3.4,16,0,2024-09-18T17:46:55Z,698,Jupyter Notebook,536,182,0.253
WerWolv/ImHex,54488,2020-11-10T14:27:00Z,2106,5.77,782,82,2026-08-18T01:38:52Z,0,C++,354,1289,0.785
wagoodman/dive,54470,2018-05-13T15:44:01Z,3018,8.26,164,28,2025-12-15T17:20:36Z,245,Go,169,206,0.549
lencx/ChatGPT,54443,2022-12-07T09:43:02Z,1350,3.7,123,34,2024-08-29T17:58:11Z,718,Rust,907,372,0.291
maybe-finance/maybe,54322,2024-01-01T22:23:46Z,959,2.63,1073,28,2025-07-24T22:20:44Z,389,Ruby,0,0,N/A
psf/requests,54244,2011-02-13T18:38:17Z,5664,15.51,1697,19,2026-08-17T19:03:16Z,0,Python,148,4025,0.965
vuejs/core,54212,2018-06-12T13:49:36Z,2988,8.18,4063,292,2026-08-18T09:43:10Z,0,TypeScript,557,5525,0.908
ElemeFE/element,54057,2016-09-03T06:19:26Z,3636,9.95,3228,145,2024-08-20T07:40:13Z,728,Vue,2645,15246,0.852
google/material-design-icons,53777,2014-10-08T18:01:28Z,4331,11.86,50,16,2026-08-14T03:02:13Z,4,N/A,410,1186,0.743
odoo/odoo,53774,2014-05-13T15:38:58Z,4479,12.26,6183,0,2026-08-18T12:49:22Z,0,Python,3757,15358,0.803
mozilla/pdf.js,53744,2011-04-26T06:32:03Z,5593,15.31,9222,88,2026-08-18T12:01:24Z,0,JavaScript,366,10198,0.965
necolas/normalize.css,53520,2011-05-04T10:20:25Z,5585,15.29,56,0,2024-06-12T20:36:06Z,796,CSS,47,471,0.909
agalwood/Motrix,53425,2018-12-18T11:45:05Z,2800,7.67,230,28,2026-08-18T12:05:06Z,0,TypeScript,770,607,0.441
freqtrade/freqtrade,53405,2017-05-17T23:48:53Z,3379,9.25,6694,116,2026-08-18T11:21:57Z,0,Python,22,5631,0.996
JetBrains/kotlin,53354,2012-02-13T17:29:58Z,5299,14.51,3546,300,2026-08-18T12:48:00Z,0,Kotlin,0,0,N/A
chinese-poetry/chinese-poetry,53158,2016-09-02T03:32:25Z,3637,9.96,138,1,2026-06-17T01:56:08Z,62,JavaScript,125,92,0.424
vsouza/awesome-ios,53094,2014-07-10T16:03:45Z,4421,12.1,2256,0,2026-06-24T14:58:10Z,54,Swift,3,494,0.994
ggml-org/whisper.cpp,52991,2022-09-25T18:26:37Z,1422,3.89,1023,38,2026-08-18T12:33:22Z,0,C++,1068,895,0.456
aaif-goose/goose,52946,2024-08-23T19:03:36Z,724,1.98,5868,146,2026-08-18T10:49:45Z,0,Rust,156,2614,0.944
dockur/windows,52888,2024-01-14T13:09:40Z,946,2.59,905,126,2026-08-18T12:32:06Z,0,Shell,17,1014,0.984
sickcodes/Docker-OSX,52865,2020-06-04T11:01:37Z,2266,6.2,109,0,2025-11-11T05:23:57Z,280,Shell,397,289,0.421
microsoft/VibeVoice,52864,2025-08-25T13:24:01Z,357,0.98,41,0,2026-07-24T09:24:29Z,25,Python,125,118,0.486
lyswhut/lx-music-desktop,52862,2019-08-14T14:31:08Z,2560,7.01,101,113,2026-08-04T16:14:05Z,13,TypeScript,1220,1306,0.517
