repository,stars,created_at,age_days,age_years,total_accepted_pull_requests,total_releases,pushed_at,days_since_last_update,primary_language,issues_open,issues_closed,issues_closed_ratio
bigskysoftware/htmx,48973,2020-04-13T16:17:51Z,2317,6.34,1190,32,2026-08-15T17:11:51Z,2,JavaScript,615,1123,0.646
metabase/metabase,48814,2015-02-02T19:25:47Z,4214,11.54,45963,816,2026-08-18T12:45:49Z,0,Clojure,3735,21953,0.855
akullpp/awesome-java,48768,2014-07-09T10:12:43Z,4423,12.11,800,0,2026-08-17T00:12:13Z,1,N/A,0,145,1.0
calesthio/OpenMontage,48718,2026-03-29T15:23:22Z,141,0.39,92,0,2026-08-14T00:23:49Z,4,Python,78,48,0.381
tmux/tmux,48697,2015-06-03T23:32:55Z,4093,11.21,37,44,2026-08-18T12:03:18Z,0,C,15,4126,0.996
algorithm-visualizer/algorithm-visualizer,48668,2016-05-15T00:27:45Z,3747,10.26,183,0,2024-06-09T06:54:22Z,800,JavaScript,49,77,0.611
iamkun/dayjs,48666,2018-04-10T09:26:44Z,3052,8.36,730,129,2026-08-18T04:15:17Z,0,JavaScript,968,880,0.476
DovAmir/awesome-design-patterns,48605,2018-06-04T17:47:48Z,2996,8.2,30,0,2024-10-25T19:57:00Z,661,N/A,11,6,0.353
mudler/LocalAI,48550,2023-03-18T22:58:02Z,1248,3.42,6702,135,2026-08-18T12:41:51Z,0,Go,90,1513,0.944
upscayl/upscayl,48523,2022-07-30T17:19:20Z,1479,4.05,106,29,2026-08-04T19:20:17Z,13,TypeScript,54,1025,0.95
KRTirtho/spotube,48472,2021-02-14T03:17:58Z,2011,5.51,261,44,2026-08-16T09:07:33Z,2,Dart,809,1310,0.618
nilbuild/design-patterns-for-humans,48457,2017-02-16T21:24:39Z,3469,9.5,50,0,2024-12-02T04:54:48Z,624,N/A,5,47,0.904
type-challenges/type-challenges,48439,2020-07-23T14:33:11Z,2216,6.07,600,0,2026-05-16T14:20:30Z,93,TypeScript,33193,4092,0.11
Aider-AI/aider,48307,2023-05-09T18:57:49Z,1196,3.27,288,93,2026-05-22T14:02:20Z,87,Python,1340,3017,0.692
brillout/awesome-react-components,48217,2016-06-24T15:19:33Z,3706,10.15,343,0,2026-01-26T16:36:45Z,203,N/A,16,45,0.738
ReactiveX/RxJava,48203,2013-01-08T20:11:48Z,4969,13.6,3587,267,2026-08-17T08:50:30Z,1,Java,10,3273,0.997
slidevjs/slidev,48133,2021-04-24T01:25:23Z,1942,5.32,900,429,2026-08-14T11:37:40Z,4,TypeScript,183,1195,0.867
moeru-ai/airi,48038,2024-12-01T16:33:36Z,624,1.71,1219,81,2026-08-18T12:28:58Z,0,TypeScript,88,449,0.836
pixijs/pixijs,48024,2013-01-21T22:40:50Z,4956,13.57,3878,308,2026-08-14T10:09:54Z,4,TypeScript,295,5837,0.952
moment/moment,47916,2011-03-01T02:46:06Z,5649,15.47,752,1,2026-08-18T05:08:43Z,0,JavaScript,167,3998,0.96
stablyai/orca,47900,2026-03-17T03:28:57Z,154,0.42,7796,931,2026-08-18T11:40:47Z,0,TypeScript,1936,1925,0.499
karan/Projects,47875,2013-07-04T13:37:27Z,4792,13.12,19,0,2024-08-14T19:06:05Z,733,N/A,59,39,0.398
calcom/cal.diy,47778,2021-03-22T13:47:42Z,1974,5.4,13099,611,2026-08-08T17:13:42Z,9,TypeScript,1117,8268,0.881
HKUDS/CLI-Anything,47755,2026-03-08T13:52:57Z,162,0.44,187,3,2026-08-13T04:30:15Z,5,Python,52,77,0.597
gogs/gogs,47736,2014-02-12T01:57:08Z,4570,12.51,1958,98,2026-08-06T12:32:28Z,12,Go,940,4269,0.82
router-for-me/CLIProxyAPI,47723,2025-07-01T19:43:27Z,412,1.13,690,816,2026-08-18T11:33:55Z,0,Go,53,2499,0.979
minimaxir/big-list-of-naughty-strings,47705,2015-08-08T20:57:20Z,4027,11.03,89,0,2024-04-18T03:26:59Z,852,Python,69,32,0.317
microsoft/qlib,47689,2020-08-14T06:46:00Z,2195,6.01,756,23,2026-07-23T08:15:29Z,26,Python,302,769,0.718
hugohe3/ppt-master,47681,2025-12-10T06:54:33Z,251,0.69,32,22,2026-08-18T08:58:03Z,0,Python,6,118,0.952
bevyengine/bevy,47678,2020-01-18T21:13:55Z,2403,6.58,8601,58,2026-08-18T07:53:45Z,0,Rust,2828,5795,0.672
discourse/discourse,47668,2013-01-12T00:25:55Z,4966,13.6,37180,1,2026-08-18T12:50:02Z,0,Ruby,0,0,N/A
lukasz-madon/awesome-remote-job,47620,2015-01-02T00:31:34Z,4246,11.62,628,0,2026-08-16T19:35:44Z,1,N/A,20,75,0.789
prisma/prisma,47566,2019-06-20T13:33:47Z,2615,7.16,7039,253,2026-08-18T12:41:55Z,0,TypeScript,2461,9559,0.795
oobabooga/textgen,47548,2022-12-21T04:17:37Z,1336,3.66,1273,113,2026-08-17T17:38:16Z,0,Python,802,3397,0.809
GitHubDaily/GitHubDaily,47505,2018-12-30T13:56:58Z,2787,7.63,3,0,2025-12-31T18:59:20Z,229,N/A,769,196,0.203
acmesh-official/acme.sh,47482,2015-12-26T12:56:33Z,3887,10.64,1627,48,2026-08-17T05:42:12Z,1,Shell,37,3664,0.99
jeecgboot/JeecgBoot,47417,2018-11-26T10:40:00Z,2822,7.73,133,64,2026-08-14T06:09:59Z,4,Java,16,8475,0.998
dypsilon/frontend-dev-bookmarks,47391,2013-06-22T13:23:55Z,4804,13.15,129,1,2024-05-21T10:56:58Z,819,N/A,35,82,0.701
coreybutler/nvm-windows,47386,2014-09-20T16:37:28Z,4349,11.91,107,23,2026-04-17T17:58:18Z,122,Go,59,910,0.939
slab/quill,47300,2012-07-30T23:23:18Z,5131,14.05,382,95,2025-07-25T06:09:23Z,389,TypeScript,579,3269,0.85
HKUDS/nanobot,47133,2026-02-01T07:16:15Z,198,0.54,1510,19,2026-08-18T11:59:07Z,0,Python,196,1254,0.865
typescript-cheatsheets/react,47100,2018-06-02T04:08:16Z,2999,8.21,387,0,2026-05-29T19:52:44Z,80,TypeScript,0,225,1.0
rohitg00/ai-engineering-from-scratch,47074,2026-03-18T18:38:02Z,152,0.42,185,2,2026-08-10T07:05:52Z,8,Python,32,41,0.562
lysine-dev/okhttp,47052,2012-07-23T13:42:55Z,5138,14.07,4157,0,2026-08-18T10:45:13Z,0,Kotlin,88,4213,0.98
elder-plinius/CL4R1T4S,47017,2025-03-04T20:03:16Z,531,1.45,0,0,2026-08-15T02:33:56Z,3,N/A,71,8,0.101
gedoor/legado,47008,2019-05-22T04:18:58Z,2645,7.24,0,0,2026-05-27T08:41:54Z,83,Kotlin,0,0,N/A
v2ray/v2ray-core,46931,2015-09-04T11:42:53Z,4001,10.95,203,247,2026-07-13T03:22:29Z,36,Go,3,2597,0.999
serverless/serverless,46918,2015-04-21T03:48:40Z,4137,11.33,5142,494,2026-08-12T15:28:21Z,5,JavaScript,1109,5525,0.833
KeygraphHQ/shannon,46915,2025-09-27T01:51:47Z,325,0.89,125,17,2026-08-18T10:24:20Z,0,TypeScript,15,124,0.892
exo-explore/exo,46868,2024-06-24T18:36:22Z,784,2.15,770,16,2026-06-23T18:59:18Z,55,Python,189,740,0.797
Asabeneh/30-Days-Of-JavaScript,46709,2019-12-23T14:07:40Z,2429,6.65,100,0,2025-12-06T11:12:48Z,255,JavaScript,118,62,0.344
hiroi-sora/Umi-OCR,46667,2022-03-28T04:01:46Z,1604,4.39,58,31,2025-11-20T14:58:13Z,270,Python,352,519,0.596
multica-ai/multica,46638,2026-01-13T17:59:46Z,216,0.59,3133,141,2026-08-18T12:49:11Z,0,Go,798,1372,0.632
kepano/obsidian-skills,46622,2026-01-02T21:45:11Z,227,0.62,16,0,2026-06-08T16:12:01Z,70,N/A,26,20,0.435
microsoft/monaco-editor,46551,2016-06-07T16:56:31Z,3723,10.19,668,189,2026-08-15T21:01:59Z,2,JavaScript,772,3243,0.808
zhayujie/CowAgent,46543,2022-08-07T08:33:41Z,1472,4.03,409,80,2026-08-18T09:01:59Z,0,Python,18,2174,0.992
SimplifyJobs/Summer2027-Internships,46524,2020-05-23T20:53:18Z,2277,6.23,1675,0,2026-08-18T12:31:01Z,0,Python,96,7562,0.987
apache/airflow,46520,2015-04-13T18:04:58Z,4144,11.35,39651,126,2026-08-18T12:12:12Z,0,Python,1100,13920,0.927
usebruno/bruno,46396,2022-09-27T20:51:45Z,1420,3.89,2660,171,2026-08-18T10:54:34Z,0,JavaScript,1286,3081,0.706
LeCoupa/awesome-cheatsheets,46369,2017-11-09T02:47:15Z,3204,8.77,175,0,2026-04-12T17:26:10Z,127,JavaScript,41,61,0.598
9001/copyparty,46257,2019-05-26T15:28:33Z,2640,7.23,211,346,2026-08-17T22:17:30Z,0,Python,217,783,0.783
docker/awesome-compose,46117,2020-02-13T08:51:42Z,2378,6.51,153,0,2026-08-15T19:45:19Z,2,HTML,105,47,0.309
ziishaned/learn-regex,46078,2017-07-22T12:21:03Z,3314,9.07,132,0,2025-08-25T23:17:54Z,357,N/A,51,36,0.414
iina/iina,45999,2016-12-19T07:18:45Z,3529,9.66,1012,51,2026-08-18T02:17:06Z,0,Swift,1830,2665,0.593
RocketChat/Rocket.Chat,45999,2015-05-19T07:36:09Z,4109,11.25,16871,1000,2026-08-18T12:45:53Z,0,TypeScript,2488,14616,0.855
jgm/pandoc,45920,2010-03-20T20:34:23Z,5994,16.41,1800,158,2026-08-17T17:02:56Z,0,Haskell,973,7363,0.883
coqui-ai/TTS,45909,2020-05-20T15:45:28Z,2280,6.24,467,98,2024-08-16T12:07:14Z,732,Python,2,1240,0.998
cli/cli,45877,2019-10-03T15:24:53Z,2510,6.87,3140,200,2026-08-18T12:42:16Z,0,Go,1006,5313,0.841
siyuan-note/siyuan,45871,2020-08-30T09:21:35Z,2179,5.97,951,944,2026-08-18T12:25:56Z,0,TypeScript,66,17475,0.996
helix-editor/helix,45860,2020-06-01T04:26:56Z,2269,6.21,4875,30,2026-08-11T23:23:12Z,6,Rust,1087,4853,0.817
Alishahryar1/free-claude-code,45806,2026-01-28T19:02:30Z,201,0.55,313,0,2026-08-18T10:17:01Z,0,Python,236,487,0.674
android/architecture-samples,45789,2016-02-05T13:42:07Z,3846,10.53,233,0,2026-08-12T23:40:24Z,5,Kotlin,147,350,0.704
DIYgod/RSSHub,45785,2018-04-02T14:43:21Z,3059,8.38,13170,0,2026-08-18T08:02:54Z,0,TypeScript,314,6098,0.951
zhongyang219/TrafficMonitor,45763,2017-07-30T02:51:17Z,3306,9.05,79,27,2026-07-22T03:19:43Z,27,C++,1327,741,0.358
DavidHDev/react-bits,45728,2024-08-06T06:54:54Z,742,2.03,214,0,2026-08-15T05:27:08Z,3,JavaScript,2,524,0.996
milvus-io/milvus,45677,2019-09-16T06:43:43Z,2528,6.92,26913,170,2026-08-18T12:17:20Z,0,Go,938,15696,0.944
google/zx,45668,2021-05-05T05:50:01Z,1931,5.29,617,100,2026-08-14T07:30:27Z,4,JavaScript,20,501,0.962
karanpratapsingh/system-design,45620,2022-08-15T18:59:54Z,1463,4.01,14,0,2026-07-08T00:36:51Z,41,N/A,3,21,0.875
streamlit/streamlit,45561,2019-08-24T00:14:52Z,2551,6.98,8347,125,2026-08-18T12:01:07Z,0,Python,979,5061,0.838
ColorlibHQ/AdminLTE,45555,2013-12-25T02:52:40Z,4619,12.65,1583,89,2026-08-18T12:15:54Z,0,Astro,0,2927,1.0
abhigyanpatwari/GitNexus,45536,2025-08-02T23:20:31Z,380,1.04,1249,0,2026-08-18T08:55:31Z,0,TypeScript,259,896,0.776
Leaflet/Leaflet,45491,2010-09-22T16:57:44Z,5808,15.9,3327,34,2026-08-17T12:53:01Z,1,JavaScript,400,4963,0.925
QuantumNous/new-api,45467,2023-11-10T19:33:36Z,1011,2.77,1283,512,2026-08-18T10:55:25Z,0,Go,709,2621,0.787
jestjs/jest,45467,2013-12-10T00:18:04Z,4634,12.69,5954,217,2026-08-18T11:25:23Z,0,TypeScript,138,8077,0.983
isocpp/CppCoreGuidelines,45251,2015-08-19T20:22:52Z,4016,11.0,830,4,2026-08-06T15:54:13Z,11,CSS,237,1000,0.808
grpc/grpc,45227,2014-12-08T18:58:53Z,4270,11.69,20861,375,2026-08-18T10:37:22Z,0,C++,665,11352,0.945
sickn33/agentic-awesome-skills,45083,2026-01-14T17:48:09Z,215,0.59,779,188,2026-08-18T07:31:38Z,0,Python,0,162,1.0
GitSquared/edex-ui,45044,2017-01-28T09:35:02Z,3489,9.55,399,29,2021-10-19T22:38:47Z,1763,JavaScript,6,553,0.989
pyenv/pyenv,45030,2012-08-31T06:57:52Z,5100,13.96,1113,165,2026-08-16T22:51:28Z,1,Shell,52,1856,0.973
fastapi/full-stack-fastapi-template,44927,2019-02-23T15:08:34Z,2732,7.48,727,15,2026-08-17T08:38:42Z,1,TypeScript,0,441,1.0
MHSanaei/3x-ui,44873,2023-02-09T19:16:57Z,1285,3.52,1044,124,2026-08-18T12:00:40Z,0,Go,95,4151,0.978
react-hook-form/react-hook-form,44820,2019-03-05T23:47:10Z,2722,7.45,2314,618,2026-08-18T11:54:09Z,0,TypeScript,1,5001,1.0
meteor/meteor,44810,2012-01-19T01:58:17Z,5325,14.58,2927,0,2026-08-18T12:33:31Z,0,JavaScript,219,9111,0.977
sudheerj/reactjs-interview-questions,44733,2018-05-31T17:17:01Z,3000,8.21,170,0,2026-08-18T07:21:33Z,0,JavaScript,3,110,0.973
coreyhaines31/marketingskills,44733,2026-01-15T19:45:23Z,214,0.59,187,39,2026-07-29T05:41:15Z,20,JavaScript,38,132,0.776
mitmproxy/mitmproxy,44723,2010-02-16T04:10:13Z,6027,16.5,2830,81,2026-08-13T13:50:59Z,4,Python,373,3318,0.899
DataTalksClub/data-engineering-zoomcamp,44697,2021-10-21T09:32:50Z,1762,4.82,462,0,2026-06-10T09:34:17Z,69,Jupyter Notebook,0,146,1.0
vercel/hyper,44692,2016-07-01T06:01:21Z,3700,10.13,3292,88,2026-06-29T11:03:02Z,50,TypeScript,944,2882,0.753
files-community/Files,44657,2019-01-04T18:19:14Z,2782,7.62,5759,140,2026-08-18T04:27:03Z,0,C#,447,10899,0.961
vnpy/vnpy,44590,2015-03-02T03:36:58Z,4187,11.46,1077,67,2026-08-10T01:07:58Z,8,Python,16,2171,0.993
getsentry/sentry,44568,2010-08-30T22:06:41Z,5831,15.96,91131,176,2026-08-18T12:50:14Z,0,Python,1772,15475,0.897
logseq/logseq,44495,2020-05-23T00:06:06Z,2278,6.24,3398,153,2026-08-18T12:47:59Z,0,Clojure,870,7349,0.894
spf13/cobra,44461,2013-09-03T20:40:26Z,4731,12.95,631,27,2026-07-11T00:43:07Z,38,Go,254,1001,0.798
charmbracelet/bubbletea,44429,2020-01-10T21:04:03Z,2411,6.6,707,79,2026-08-18T07:32:36Z,0,Go,108,335,0.756
paperless-ngx/paperless-ngx,44371,2022-02-12T21:56:52Z,1647,4.51,3546,156,2026-08-18T08:03:43Z,0,Python,3,2637,0.999
NaiboWang/EasySpider,44366,2020-07-18T02:41:27Z,2222,6.08,46,10,2026-07-03T09:39:50Z,46,JavaScript,269,497,0.649
AykutSarac/jsoncrack.com,44289,2022-01-30T15:25:18Z,1660,4.54,91,23,2026-06-15T16:37:02Z,63,TypeScript,29,260,0.9
payloadcms/payload,44237,2021-01-05T18:49:45Z,2050,5.61,7702,574,2026-08-17T23:38:07Z,0,TypeScript,415,4328,0.913
sharkdp/fd,44122,2017-05-09T21:27:10Z,3387,9.27,775,44,2026-08-11T17:42:55Z,6,Rust,129,854,0.869
janhq/jan,44041,2023-08-17T02:17:10Z,1097,3.0,3805,104,2026-08-18T12:45:13Z,0,TypeScript,363,3422,0.904
streamich/react-use,44018,2018-10-27T10:16:05Z,2852,7.81,1534,257,2026-06-10T18:51:23Z,68,TypeScript,367,247,0.402
parcel-bundler/parcel,44018,2017-08-07T16:36:47Z,3297,9.03,2600,52,2026-08-17T04:30:08Z,1,JavaScript,459,5080,0.917
Kong/kong,43994,2014-11-17T23:56:08Z,4291,11.75,6532,147,2026-08-16T14:44:43Z,1,Lua,77,4537,0.983
yangshun/front-end-interview-handbook,43989,2018-01-13T19:40:08Z,3138,8.59,356,0,2026-08-13T08:25:31Z,5,JavaScript,11,92,0.893
babel/babel,43983,2014-09-28T13:38:23Z,4341,11.89,6739,468,2026-08-16T08:21:06Z,2,TypeScript,592,8519,0.935
zen-browser/desktop,43962,2024-03-28T00:05:55Z,873,2.39,1216,185,2026-08-17T22:19:41Z,0,JavaScript,565,9107,0.942
lysine-dev/retrofit,43931,2010-09-06T21:39:43Z,5824,15.95,1352,4,2026-08-16T23:02:12Z,1,Java,129,2645,0.953
astaxie/build-web-application-with-golang,43902,2012-08-02T11:49:35Z,5129,14.04,757,0,2024-05-12T00:47:46Z,828,Go,124,182,0.595
apache/spark,43828,2014-02-25T08:00:08Z,4557,12.48,8,0,2026-08-18T09:55:24Z,0,Scala,39,58,0.598
DataExpert-io/data-engineer-handbook,43760,2023-11-19T19:47:41Z,1002,2.74,181,0,2026-08-03T20:29:57Z,14,Jupyter Notebook,25,82,0.766
aymericdamien/TensorFlow-Examples,43732,2015-11-11T14:21:19Z,3932,10.77,88,0,2024-07-26T19:46:13Z,752,Jupyter Notebook,168,71,0.297
ccxt/ccxt,43658,2017-05-14T15:41:56Z,3382,9.26,15571,248,2026-08-18T11:34:28Z,0,Python,233,11308,0.98
ray-project/ray,43542,2016-10-25T19:38:30Z,3583,9.81,32138,128,2026-08-18T11:30:18Z,0,Python,2873,20087,0.875
juspay/hyperswitch,43506,2022-10-17T11:18:28Z,1401,3.84,7574,158,2026-08-18T12:45:32Z,0,Rust,1334,2845,0.681
colinhacks/zod,43481,2020-03-07T20:59:08Z,2354,6.44,1134,205,2026-08-17T20:27:22Z,0,TypeScript,70,3081,0.978
danielmiessler/Fabric,43472,2024-01-03T23:18:31Z,957,2.62,646,423,2026-08-09T20:55:42Z,8,Go,30,829,0.965
gradio-app/gradio,43376,2018-12-19T08:24:04Z,2799,7.66,5724,1000,2026-08-18T12:28:08Z,0,Python,166,6548,0.975
Light-City/CPlusPlusThings,43357,2019-07-14T08:45:45Z,2592,7.1,78,0,2026-05-16T06:05:14Z,94,C++,8,223,0.965
ziglang/zig,43316,2015-08-06T00:51:28Z,4030,11.03,9540,21,2025-11-27T01:42:59Z,264,Zig,2734,10788,0.798
alex/what-happens-when,43292,2013-11-07T04:30:06Z,4667,12.78,108,0,2024-08-19T13:02:25Z,728,N/A,246,54,0.18
Unitech/pm2,43269,2013-05-21T03:25:25Z,4837,13.24,558,138,2026-07-02T10:09:15Z,47,JavaScript,1019,4128,0.802
HeyPuter/puter,43091,2024-03-03T01:44:32Z,898,2.46,2020,22,2026-08-18T07:06:59Z,0,TypeScript,8,1215,0.993
zbezj/HEU_KMS_Activator,43079,2019-06-23T00:49:35Z,2613,7.15,0,54,2026-07-06T04:01:22Z,43,N/A,173,32,0.156
FuelLabs/fuels-rs,43067,2021-10-31T22:33:54Z,1751,4.79,915,121,2026-06-29T14:14:40Z,49,Rust,50,613,0.925
FuelLabs/fuels-ts,43029,2021-09-03T18:11:03Z,1809,4.95,1979,156,2026-03-27T18:21:29Z,143,TypeScript,57,1400,0.961
mifi/lossless-cut,43014,2016-10-30T10:49:56Z,3579,9.8,266,106,2026-08-14T22:07:25Z,3,TypeScript,281,1639,0.854
juanfont/headscale,42974,2020-06-21T09:21:05Z,2249,6.16,1349,140,2026-07-30T10:20:13Z,19,Go,84,1254,0.937
deepspeedai/DeepSpeed,42954,2020-01-23T18:35:18Z,2398,6.57,3168,115,2026-08-17T21:53:51Z,0,Python,1166,2201,0.654
faif/python-patterns,42929,2012-06-06T21:02:35Z,5185,14.2,293,0,2026-08-13T09:08:33Z,5,Python,9,88,0.907
Imbad0202/academic-research-skills,42905,2026-02-26T06:31:01Z,173,0.47,405,40,2026-08-18T05:46:09Z,0,Python,21,289,0.932
curl/curl,42622,2010-03-18T22:32:22Z,5996,16.42,211,97,2026-08-18T11:46:13Z,0,C,6,5543,0.999
k88hudson/git-flight-rules,42598,2014-07-22T20:35:09Z,4409,12.07,227,0,2026-07-23T20:48:50Z,25,N/A,14,59,0.808
mingrammer/diagrams,42520,2020-02-02T15:23:24Z,2388,6.54,360,46,2026-08-16T12:09:29Z,2,Python,315,231,0.423
apachecn/ailearning,42464,2017-02-25T08:53:02Z,3461,9.48,478,2,2024-11-12T16:21:55Z,643,Python,4,114,0.966
Alamofire/Alamofire,42418,2014-07-31T05:56:19Z,4401,12.05,674,106,2026-08-03T01:00:57Z,15,Swift,31,2788,0.989
danny-avila/LibreChat,42184,2023-02-12T01:06:52Z,1283,3.51,4113,94,2026-08-18T12:46:41Z,0,TypeScript,360,4515,0.926
imputnet/cobalt,42126,2022-07-08T18:12:55Z,1501,4.11,252,0,2026-04-06T11:59:56Z,134,Svelte,227,804,0.78
saadeghi/daisyui,42113,2020-11-28T22:57:27Z,2088,5.72,607,227,2026-08-18T01:07:12Z,0,JavaScript,14,2184,0.994
666ghj/BettaFish,42020,2024-07-01T13:11:38Z,777,2.13,119,6,2026-08-17T05:07:11Z,1,Python,1,441,0.998
fastlane/fastlane,42001,2014-12-02T17:00:38Z,4276,11.71,6482,568,2026-08-18T00:55:28Z,0,Ruby,518,12786,0.961
LC044/WeChatMsg,41970,2023-01-11T05:03:49Z,1315,3.6,62,0,2025-12-30T13:31:16Z,230,N/A,0,0,N/A
nolimits4web/swiper,41881,2012-03-14T19:11:45Z,5269,14.43,629,103,2026-08-06T16:44:44Z,11,TypeScript,238,5592,0.959
psf/black,41805,2018-03-14T19:54:45Z,3078,8.43,1887,55,2026-08-17T23:55:15Z,0,Python,267,2551,0.905
hexojs/hexo,41769,2012-09-23T15:17:08Z,5076,13.9,1000,118,2026-08-12T18:42:36Z,5,TypeScript,46,3955,0.989
agno-agi/agno,41762,2022-05-04T15:23:02Z,1566,4.29,3625,231,2026-08-18T12:35:53Z,0,Python,626,2129,0.773
aria2/aria2,41741,2010-11-27T09:41:48Z,5743,15.72,258,24,2026-06-25T14:49:35Z,53,C++,1096,829,0.431
dylanaraps/pure-bash-bible,41718,2018-06-13T01:39:33Z,2988,8.18,28,0,2023-11-28T03:26:23Z,994,Shell,44,33,0.429
freefq/free,41710,2020-06-07T02:48:33Z,2263,6.2,0,0,2024-08-20T09:43:55Z,728,N/A,599,293,0.328
chubin/cheat.sh,41657,2017-05-07T21:40:56Z,3389,9.28,129,0,2025-12-23T18:48:24Z,237,Python,134,139,0.509
dcloudio/uni-app,41597,2018-07-12T08:52:39Z,2959,8.1,583,0,2026-08-18T12:43:03Z,0,JavaScript,689,4410,0.865
apache/dubbo,41551,2012-06-19T07:56:02Z,5173,14.16,6133,114,2026-08-13T18:29:17Z,4,Java,834,6590,0.888
heygen-com/hyperframes,41488,2026-03-10T01:51:06Z,161,0.44,2133,352,2026-08-18T07:14:39Z,0,TypeScript,32,246,0.885
yarnpkg/yarn,41487,2016-01-19T17:39:16Z,3863,10.58,1655,153,2026-05-12T11:09:42Z,98,JavaScript,1869,4755,0.718
tabler/tabler,41474,2018-02-01T09:08:59Z,3120,8.54,946,51,2026-08-17T23:28:08Z,0,Astro,56,1165,0.954
chatboxai/chatbox,41462,2023-03-06T12:22:15Z,1261,3.45,81,60,2026-08-14T14:13:27Z,3,TypeScript,1152,1541,0.572
sxyazi/yazi,41459,2023-07-08T11:45:55Z,1137,3.11,1274,32,2026-08-17T20:08:29Z,0,Rust,51,1900,0.974
hpcaitech/ColossalAI,41439,2021-10-28T16:19:44Z,1754,4.8,3708,50,2026-08-17T17:57:12Z,0,Python,443,1297,0.745
exelban/stats,41259,2019-05-29T19:24:56Z,2637,7.22,455,348,2026-08-17T17:57:26Z,0,Swift,24,2904,0.992
nwjs/nw.js,41162,2012-01-04T06:21:10Z,5340,14.62,576,0,2026-08-17T13:26:24Z,0,JavaScript,889,6567,0.881
styled-components/styled-components,41119,2016-08-16T06:41:32Z,3654,10.0,1067,239,2026-08-17T17:53:56Z,0,TypeScript,11,2998,0.996
XTLS/Xray-core,41101,2020-11-09T11:23:10Z,2108,5.77,1422,119,2026-08-18T00:12:54Z,0,Go,33,3062,0.989
luongnv89/claude-howto,41091,2025-11-07T22:59:34Z,283,0.77,66,10,2026-08-17T05:44:48Z,1,Python,16,27,0.628
vuetifyjs/vuetify,41029,2016-09-12T00:39:35Z,3627,9.93,4804,674,2026-08-18T12:43:13Z,0,TypeScript,288,15150,0.981
bailicangdu/vue2-elm,41026,2016-12-23T01:49:20Z,3525,9.65,21,0,2025-04-11T12:52:02Z,494,Vue,119,512,0.811
zai-org/ChatGLM-6B,40990,2023-03-13T12:00:18Z,1254,3.43,47,0,2024-06-27T04:05:25Z,782,Python,566,750,0.57
gkd-kit/gkd,40972,2023-07-04T03:59:15Z,1141,3.12,16,75,2026-08-08T17:07:18Z,9,Kotlin,11,784,0.986
amruthpillai/reactive-resume,40952,2020-03-25T14:08:22Z,2336,6.4,931,136,2026-08-18T02:26:28Z,0,TypeScript,102,2049,0.953
goabstract/Awesome-Design-Tools,40911,2019-02-12T13:55:30Z,2743,7.51,283,0,2024-07-28T19:57:31Z,750,JavaScript,27,26,0.491
vercel-labs/agent-browser,40867,2026-01-11T05:38:15Z,219,0.6,580,102,2026-08-17T22:38:10Z,0,Rust,331,244,0.424
QSCTech/zju-icicles,40859,2016-06-28T16:17:32Z,3702,10.14,232,0,2026-01-20T11:01:02Z,210,HTML,9,69,0.885
Hmbown/CodeWhale,40828,2026-01-19T18:21:01Z,210,0.57,1747,132,2026-08-18T10:41:00Z,0,Rust,144,2349,0.942
vim/vim,40763,2015-08-18T21:03:56Z,4017,11.0,440,0,2026-08-17T21:28:33Z,0,Vim Script,1570,8153,0.839
facebookresearch/faiss,40752,2017-02-07T16:07:05Z,3478,9.52,137,28,2026-08-18T00:31:03Z,0,C++,215,2564,0.923
ashishps1/awesome-system-design-resources,40733,2023-10-25T01:50:42Z,1028,2.81,3,0,2026-02-16T18:32:29Z,182,Java,8,27,0.771
appsmithorg/appsmith,40691,2020-06-30T04:07:36Z,2240,6.13,14325,308,2026-08-18T12:45:05Z,0,TypeScript,4424,19323,0.814
remoteintech/remote-jobs,40668,2015-10-13T03:49:25Z,3962,10.85,1454,0,2026-08-11T12:07:57Z,7,JavaScript,4,200,0.98
bradtraversy/50projects50days,40611,2020-11-16T14:39:01Z,2100,5.75,44,0,2025-02-26T13:49:39Z,537,CSS,0,0,N/A
PatrickJS/awesome-cursorrules,40605,2024-09-16T15:38:38Z,700,1.92,101,0,2026-05-30T18:01:29Z,79,JavaScript,7,58,0.892
chatanywhere/GPT_API_free,40602,2023-04-23T12:42:08Z,1213,3.32,1,0,2026-07-28T19:03:18Z,20,N/A,1,438,0.998
GyulyVGC/sniffnet,40591,2022-07-31T21:55:56Z,1478,4.05,547,18,2026-08-17T23:02:38Z,0,Rust,56,312,0.848
chakra-ui/chakra-ui,40577,2019-08-17T14:27:54Z,2557,7.0,3018,1000,2026-08-18T10:19:10Z,0,TypeScript,3,4352,0.999
trpc/trpc,40524,2020-07-18T01:17:11Z,2222,6.08,3924,239,2026-08-13T21:58:09Z,4,TypeScript,154,1210,0.887
pingcap/tidb,40443,2015-09-06T04:01:52Z,3999,10.95,36052,215,2026-08-18T12:44:50Z,0,Go,5190,18678,0.783
ToolJet/ToolJet,40426,2021-03-30T08:51:34Z,1967,5.39,9068,595,2026-08-18T12:45:41Z,0,JavaScript,551,4733,0.896
wg/wrk,40387,2012-03-20T11:12:28Z,5264,14.41,0,0,2023-12-30T10:33:51Z,962,C,0,0,N/A
