metrica,tratamento,n,mediana,q1,q3,iqr,media,desvio_padrao,min,max
indice_manutenibilidade,sem_ia,6,58.3,53.062,58.768,5.705,56.153,4.097,50.43,59.65
indice_manutenibilidade,com_ia,6,59.71,56.955,62.638,5.683,60.652,4.603,56.51,68.33
densidade_cc_sloc,sem_ia,6,0.367,0.302,0.386,0.085,0.386,0.125,0.286,0.625
densidade_cc_sloc,com_ia,6,0.396,0.362,0.426,0.064,0.394,0.086,0.263,0.524
densidade_cc_lloc,sem_ia,6,0.373,0.304,0.408,0.104,0.408,0.159,0.286,0.714
densidade_cc_lloc,com_ia,6,0.367,0.308,0.413,0.104,0.382,0.113,0.263,0.579
sloc,sem_ia,6,21.0,20.25,24.75,4.5,22.5,5.244,16.0,31.0
sloc,com_ia,6,15.0,14.0,18.25,4.25,16.0,3.406,12.0,21.0
loc,sem_ia,6,28.0,26.25,31.25,5.0,29.5,6.535,22.0,41.0
loc,com_ia,6,22.0,18.25,22.0,3.75,20.833,4.262,15.0,27.0
cc_total,sem_ia,6,8.5,6.25,10.0,3.75,8.5,2.51,6.0,12.0
cc_total,com_ia,6,5.5,5.0,6.0,1.0,6.333,2.338,5.0,11.0
cc_media,sem_ia,6,8.5,6.25,10.0,3.75,8.5,2.51,6.0,12.0
cc_media,com_ia,6,5.5,5.0,6.0,1.0,6.333,2.338,5.0,11.0
