tratamento,n,mediana,q1,q3,iqr,media,desvio_padrao,min,max
sem_ia,6,0.4751,0.4362,0.5061,0.07,0.4505,0.1557,0.1708,0.6422
com_ia,6,0.834,0.7613,0.8703,0.109,0.8357,0.0902,0.7447,0.9823
